national_tmed,national_tmin,national_tmax
14.8039537,10.45096046,19.16574643
14.30367008,10.21015641,18.41205796
15.06319263,9.720778367,20.39174707
14.01709159,7.621935851,20.38993799
15.49581548,9.374676497,21.61170461
15.51119459,10.35319361,20.67776171
15.8457946,9.109655889,22.59961317
15.8988276,10.24101325,21.5546544
13.94856994,9.667215125,18.24867186
13.99149545,8.174007932,19.81530475
14.76673603,9.118614433,20.41831434
16.24848137,9.844304078,22.63679868
18.26471165,12.55515705,23.94540949
19.78865874,14.2669629,25.31971471
17.08989213,12.11369845,22.08827685
16.48170868,9.731206591,23.23611882
18.01221684,10.76125307,25.27817585
18.51527629,12.31735405,24.73157647
21.40093278,13.80153844,28.98360148
22.10149913,14.06037846,30.1608885
23.92429778,15.93125031,31.9455913
22.59152604,14.96409047,30.2504254
17.42789823,11.27452472,23.58495679
19.56863925,12.49731893,26.66221178
16.08972013,11.06200518,21.09591914
14.30592727,9.139518164,19.47843656
14.85530974,9.000194073,20.69268765
15.11066615,8.808505533,21.42278234
18.02396308,12.31801558,23.73395947
18.28225465,11.48165039,25.09381957
18.61830554,11.4885627,25.7322373
19.53145283,12.39045485,26.66071451
19.44356487,13.4378863,25.4322918
20.60111969,14.41318537,26.79815096
21.20063547,14.20547652,28.18713323
22.33983451,15.8365081,28.84827173
22.74558364,15.89955103,29.59309593
22.22224327,15.53552008,28.92369443
23.19865207,16.56871984,29.85381852
21.92236827,15.6728244,28.17804827
20.49996799,15.5088356,25.4825188
18.95424799,14.65457579,23.23396409
18.59876443,13.55016712,23.66305669
17.42339407,12.72148957,22.11943118
18.27735016,12.12453338,24.43849384
19.5839379,12.9408916,26.23023372
20.90723394,14.0624537,27.72747723
22.15372043,15.16034319,29.14357471
23.50646343,17.2986875,29.7089004
22.04598354,16.15765429,27.92683069
21.31757894,14.99137945,27.63506546
22.71749896,15.44435235,29.99924631
24.41516829,17.24979329,31.5834066
26.99336026,19.79136781,34.18282517
26.72763385,19.7173459,33.73978974
25.46400172,18.9797237,31.94240072
24.58907827,18.78950815,30.38641443
25.85425854,18.83393244,32.8767323
27.88600707,20.25718299,35.49986106
28.20039026,20.79369633,35.59462069
26.21236592,19.74750725,32.70058257
25.54938395,18.47496403,32.64876514
25.51532304,18.57336353,32.48852872
26.0220384,18.88279799,33.18279505
26.73158371,19.67314003,33.75592806
27.21248177,20.05442386,34.35761201
27.13392252,20.17951046,34.13070921
26.69602072,20.23379352,33.14100565
26.65733381,20.07564059,33.25522951
27.07051554,20.8295865,33.3015801
26.11690177,19.64525737,32.58703457
25.82269439,19.20843802,32.4312364
25.56849365,19.37281701,31.76463886
25.8464778,19.49663954,32.21317287
25.84107823,19.57030395,32.14246899
25.85500509,20.00562322,31.71993203
24.22417308,19.49940164,28.95991021
22.60658376,17.51229435,27.68580225
25.71985737,19.4740639,31.96285427
25.15716265,19.20501636,31.1280746
25.95008525,19.09089391,32.80119974
26.24571386,19.57205851,32.93206423
26.51834306,20.49081932,32.55222637
25.57355061,18.47287227,32.67317448
25.68033117,20.0463234,31.30972167
25.73925672,19.91827956,31.55235919
23.26554921,18.12706205,28.40309662
21.18663574,16.01182886,26.35006602
23.0038215,17.97819903,28.04446768
22.029805,16.51300756,27.53736542
22.7297399,16.57613208,28.88395101
24.56931783,17.98899567,31.13860825
24.92298915,18.62938004,31.23209187
20.67615311,15.44434999,25.92868397
21.48319156,14.47079745,28.49421754
23.30000424,17.05662924,29.55178333
24.06768179,17.8140087,30.29419863
24.88251758,18.06797761,31.68391867
24.11574413,19.1714241,29.05044268
22.53071858,17.37004792,27.65673054
21.25584809,16.37014127,26.15218467
20.23025308,15.93782132,24.53023181
19.17302527,14.71323638,23.62117128
19.72090307,14.65616162,24.78507045
19.81681493,13.55379347,26.0890821
20.44527682,14.24827476,26.63629513
20.751326,15.6045523,25.87885145
21.31992024,15.36540031,27.28833339
19.28706734,14.27254509,24.29335119
18.22880704,13.46220233,22.99571724
19.49056449,14.97209335,24.03051254
17.69649689,12.5226929,22.86529382
17.40772699,10.97751733,23.82625682
20.92770351,14.11777668,27.73431311
20.7393121,14.74892199,26.75213306
19.10139705,13.67500114,24.52334468
19.17220434,12.69091358,25.62551153
20.12974898,13.68162288,26.59367043
18.65570303,12.7804475,24.51901612
17.55607142,12.37834883,22.71233103
17.27616054,12.22176724,22.35005707
17.92865455,11.82890956,24.00334906
17.94419737,12.0572179,23.83572666
21.33960907,17.46194955,25.22350795
19.24088131,14.80101084,23.68883447
17.06768662,12.09966494,22.03019885
16.45890793,11.35068809,21.58231993
16.57701117,10.5857932,22.5600033
18.1167256,14.21308008,22.01576435
15.72487093,12.06719197,19.37022917
